"","Model","Var1","Var2","value"
"166","Curveball",16,"s2",-0.382107973327334
"167","Curveball",17,"s2",0.0184315763387233
"168","Curveball",18,"s2",-0.356663343723001
"169","Curveball",19,"s2",-0.456180247787309
"170","Curveball",20,"s2",-0.431458122613985
"171","Curveball",21,"s2",-0.344311999976754
"172","Curveball",22,"s2",-0.101836865599283
"173","Curveball",23,"s2",-0.130436750701876
"174","Curveball",24,"s2",-0.244803378791789
"175","Curveball",25,"s2",-0.416460326179826
"176","Curveball",26,"s2",0.692079692799429
"177","Curveball",27,"s2",-0.376937698442451
"178","Curveball",28,"s2",-0.377439827846243
"179","Curveball",29,"s2",-0.3869462188359
"180","Curveball",30,"s2",-0.421265200024768
"181","Curveball",31,"s2",0.189197407233367
"182","Curveball",32,"s2",-0.369052863432022
"183","Curveball",33,"s2",-0.511014319632969
"184","Curveball",34,"s2",-0.423946923645712
"185","Curveball",35,"s2",-0.257992954492668
"186","Curveball",36,"s2",-0.432574400238744
"187","Curveball",37,"s2",0.0472557322553009
"188","Curveball",38,"s2",0.35836274585237
"189","Curveball",39,"s2",0.431246910317654
"190","Curveball",40,"s2",-0.0221261424309132
"191","Curveball",41,"s2",0.588817943458011
"192","Curveball",42,"s2",0.51035077651322
"193","Curveball",43,"s2",-0.39478784591598
"194","Curveball",44,"s2",-0.44174552782964
"195","Curveball",45,"s2",-0.41949275956408
"196","Curveball",46,"s2",-0.308284363545272
"197","Curveball",47,"s2",0.0653769701167943
"198","Curveball",48,"s2",-0.459742243653118
"199","Curveball",49,"s2",-0.43947065866462
"200","Curveball",50,"s2",-0.0919773023967978
"201","Curveball",1,"d3",-0.036304416816314
"202","Curveball",2,"d3",-0.0458458386941324
"203","Curveball",3,"d3",-0.385166722476532
"204","Curveball",4,"d3",-0.0232391574276354
"205","Curveball",5,"d3",-0.0621265932848586
"206","Curveball",6,"d3",-0.194778496982908
"207","Curveball",7,"d3",-0.0310950516230201
"208","Curveball",8,"d3",-0.116726339710611
"209","Curveball",9,"d3",-0.230787265250676
"210","Curveball",10,"d3",-0.0353184202100268
"211","Curveball",11,"d3",-0.0235980094698947
"212","Curveball",12,"d3",-0.160410729806916
"213","Curveball",13,"d3",-0.351183727879327
"214","Curveball",14,"d3",-0.186852118255169
"215","Curveball",15,"d3",-0.225900938401503
"216","Curveball",16,"d3",-0.0631691157119229
"217","Curveball",17,"d3",-0.270785627259843
"218","Curveball",18,"d3",-0.156667214221454
"219","Curveball",19,"d3",-0.0358502920110541
"220","Curveball",20,"d3",-0.0289655031392201
"221","Curveball",21,"d3",-0.078594515239462
"222","Curveball",22,"d3",-0.127736890431753
"223","Curveball",23,"d3",-0.236879610182099
"224","Curveball",24,"d3",-0.136517256759029
"225","Curveball",25,"d3",-0.0636618486459577
"226","Curveball",26,"d3",-0.0705591788499777
"227","Curveball",27,"d3",-0.0612251849141666
"228","Curveball",28,"d3",-0.151781631014955
"229","Curveball",29,"d3",-0.0462162482020188
"230","Curveball",30,"d3",-0.0544945193055384
"231","Curveball",31,"d3",-0.257752882668056
"232","Curveball",32,"d3",-0.127009429547753
"233","Curveball",33,"d3",-0.0759105597280459
"234","Curveball",34,"d3",-0.0838713259607328
"235","Curveball",35,"d3",-0.198048387615986
"236","Curveball",36,"d3",-0.0425158305279216
"237","Curveball",37,"d3",-0.273024702721283
"238","Curveball",38,"d3",-0.420594428155638
"239","Curveball",39,"d3",-0.348789178910098
"240","Curveball",40,"d3",-0.303461431340755
"241","Curveball",41,"d3",-0.338048910222362
"242","Curveball",42,"d3",-0.302032030038595
"243","Curveball",43,"d3",-0.0269617305864531
"244","Curveball",44,"d3",-0.0307407006706963
"245","Curveball",45,"d3",-0.0191728300948738
"246","Curveball",46,"d3",-0.00841755346110661
